Flight_ID,Flight_Date,Flight_Month,Flight_DayOfWeek,Airline,Origin,Destination,Aircraft,Travel_Class,Passengers,Seat_Capacity,Average_Ticket_Price,Delay_Minutes,Delay_Category,Flight_Status,Weather,Booking_Channel,Avg_Baggage_Kg,Meal_Preference,Fare_Category,Passenger_Satisfaction
FL0006,2026-05-20,May,Wednesday,Akasa Air,Kochi,Delhi,Airbus A319,Economy,123,220,5636,35.0,Moderate,Delayed,Cloudy,Travel Agency,13,Vegetarian,Medium,2
FL0166,2026-05-23,May,Saturday,Akasa Air,Kochi,Delhi,Airbus A320,Economy,108,210,2314,0.0,None,On Time,Fog,Online Travel Portal,6,Vegan,Low,2
FL0017,2026-05-24,May,Sunday,SpiceJet,Delhi,Chennai,Airbus A321,Economy,73,220,4256,20.0,Moderate,Delayed,Rain,Travel Agency,22,Non-Vegetarian,Low,2
FL0101,2026-05-24,May,Sunday,IndiGo,Jaipur,Mumbai,Boeing 737,Economy,62,180,2552,50.0,Moderate,Delayed,Cloudy,Airline Website,5,No Meal,Low,2
FL0128,2026-05-27,May,Wednesday,SpiceJet,Srinagar,Delhi,Airbus A319,Economy,67,180,6394,0.0,None,On Time,Clear,Airline Website,10,Non-Vegetarian,Medium,3
FL0108,2026-05-30,May,Saturday,IndiGo,Lucknow,Delhi,Airbus A319,Premium Economy,198,180,10551,75.0,Severe,Delayed,Rain,Travel Agency,13,Vegan,High,2
FL0004,2026-05-30,May,Saturday,Akasa Air,Srinagar,Delhi,Airbus A319,Economy,153,220,3791,35.0,Moderate,Delayed,Storm,Travel Agency,18,No Meal,Low,2
FL0173,2026-06-02,June,Tuesday,SpiceJet,Srinagar,Delhi,Airbus A319,Economy,143,189,6817,75.0,Severe,Delayed,Storm,Mobile App,20,No Meal,Medium,2
FL0172,2026-06-02,June,Tuesday,IndiGo,Pune,Delhi,Airbus A319,Premium Economy,166,180,9210,12.0,Low,On Time,Fog,Airline Website,17,Vegetarian,Medium,2
FL0045,2026-06-05,June,Friday,SpiceJet,Delhi,Srinagar,Airbus A320,Economy,81,186,3975,35.0,Moderate,Delayed,Clear,Travel Agency,14,Non-Vegetarian,Low,3
FL0002,2026-06-07,June,Sunday,Akasa Air,Delhi,Mumbai,Boeing 737,Economy,70,210,4468,0.0,None,On Time,Fog,Travel Agency,16,Vegan,Low,5
FL0164,2026-06-07,June,Sunday,SpiceJet,Mumbai,Bengaluru,Airbus A321,Economy,139,189,6327,0.0,None,On Time,Rain,Travel Agency,20,Vegan,Medium,4
FL0070,2026-06-12,June,Friday,SpiceJet,Srinagar,Delhi,Boeing 737,Economy,201,189,2959,20.0,Moderate,Delayed,Rain,Online Travel Portal,12,Vegan,Low,4
FL0010,2026-06-12,June,Friday,Akasa Air,Ahmedabad,Bengaluru,Airbus A321,Economy,125,220,2500,12.0,Low,On Time,Cloudy,Online Travel Portal,23,Non-Vegetarian,Low,4
FL0014,2026-06-14,June,Sunday,Air India,Lucknow,Delhi,Airbus A321,Economy,78,220,2744,0.0,None,On Time,Cloudy,Online Travel Portal,13,No Meal,Low,5
FL0095,2026-06-14,June,Sunday,Vistara,Bengaluru,Kochi,Airbus A319,Economy,199,189,4369,0.0,None,On Time,Fog,Online Travel Portal,11,Vegetarian,Low,5
FL0167,2026-06-15,June,Monday,SpiceJet,Ahmedabad,Bengaluru,Airbus A321,Economy,148,180,6593,0.0,None,On Time,Rain,Online Travel Portal,15,Non-Vegetarian,Medium,5
FL0150,2026-06-15,June,Monday,Vistara,Chennai,Mumbai,Boeing 737,Economy,131,210,6572,5.0,Low,On Time,Storm,Mobile App,25,No Meal,Medium,5
FL0007,2026-06-17,June,Wednesday,Air India Express,Delhi,Srinagar,Airbus A319,Premium Economy,178,210,9430,0.0,None,On Time,Storm,Online Travel Portal,18,Vegetarian,Medium,4
FL0034,2026-06-18,June,Thursday,Air India Express,Delhi,Chennai,Boeing 737,Premium Economy,125,186,9278,0.0,None,On Time,Rain,Online Travel Portal,23,No Meal,Medium,3
FL0043,2026-06-19,June,Friday,Vistara,Delhi,Chennai,Airbus A319,Economy,64,220,4029,50.0,Moderate,Delayed,Clear,Mobile App,5,No Meal,Low,3
FL0092,2026-06-23,June,Tuesday,Vistara,Delhi,Chennai,Airbus A321,Economy,170,210,6486,0.0,None,On Time,Rain,Travel Agency,17,Vegetarian,Medium,2
FL0160,2026-06-23,June,Tuesday,Vistara,Lucknow,Delhi,Airbus A321,Economy,91,210,5443,75.0,Severe,Delayed,Storm,Airline Website,10,No Meal,Medium,2
FL0021,2026-06-23,June,Tuesday,Vistara,Srinagar,Delhi,Airbus A320,Premium Economy,173,189,9018,0.0,None,On Time,Fog,Airline Website,14,Vegan,Medium,4
FL0050,2026-06-23,June,Tuesday,Akasa Air,Kochi,Delhi,Airbus A320,Economy,74,186,3754,0.0,None,On Time,Cloudy,Travel Agency,14,Vegan,Low,5
FL0037,2026-06-23,June,Tuesday,Vistara,Bengaluru,Kochi,Airbus A320,Premium Economy,184,220,11614,0.0,None,On Time,Fog,Mobile App,5,Vegan,High,4
FL0064,2026-06-24,June,Wednesday,Vistara,Mumbai,Bengaluru,Airbus A321,Economy,105,180,4280,0.0,None,On Time,Storm,Airline Website,5,Vegan,Low,3
FL0170,2026-06-25,June,Thursday,IndiGo,Mumbai,Kolkata,Airbus A319,Economy,130,180,3938,110.0,Severe,Delayed,Rain,Online Travel Portal,17,No Meal,Low,4
FL0148,2026-06-26,June,Friday,IndiGo,Delhi,Srinagar,Airbus A321,Economy,147,189,5589,0.0,None,On Time,Rain,Travel Agency,9,Vegan,Medium,2
FL0114,2026-06-27,June,Saturday,Air India Express,Srinagar,Delhi,Airbus A320,Economy,79,180,6268,20.0,Moderate,Delayed,Clear,Mobile App,21,Vegan,Medium,5
FL0068,2026-06-28,June,Sunday,Akasa Air,Bengaluru,Hyderabad,Airbus A321,Economy,102,189,5819,0.0,None,On Time,Rain,Online Travel Portal,11,Vegan,Medium,5
FL0121,2026-06-29,June,Monday,SpiceJet,Bengaluru,Hyderabad,Airbus A319,Premium Economy,141,186,9974,5.0,Low,On Time,Fog,Airline Website,14,Vegetarian,Medium,4
